Porcentaje;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Busqueda;Generacion;Aciertos
0,36;-2;-2;119;-2;-2;-2;60;-1;-2;107;-2;27;79;40;141;-2;-1;-2;16;-2;-2;82;-2;-2;-1;52;-2;74;-2;-2;-1;-2;-2;-1;-2;116;-2;-1;-2;-2;-2;-2;-2;-2;-2;57;-2;-2;-2;50;121;-2;-2;-2;-2;-2;29;-2;104;97;-2;45;-2;-2;-1;99;26;54;-2;13;-2;34;49;38;-2;132;-2;108;-2;-2;-1;-2;-2;-2;-2;49;31;-2;-2;-2;-2;-2;-2;105;-1;-2;152;-1;14;-2;10;57;33
0,39;-2;78;116;-2;-2;114;-2;-1;-2;-2;-1;-2;145;-1;-2;-2;115;-1;-2;83;-1;-1;-2;-2;-2;-1;-2;-1;-1;-1;-1;-2;-2;-2;-2;-1;-2;-2;-2;-1;60;63;-1;-2;-2;-2;-1;-2;-2;79;-2;-2;42;-2;-1;64;-2;-2;-2;-2;58;-1;79;-2;66;-2;112;33;-2;109;71;-1;-2;-2;-1;-2;-2;-1;-2;-2;-2;-2;-1;46;-2;-2;-1;-2;-1;-1;-2;107;-2;-2;-2;-2;-2;-2;-2;-2;24;56;20
0,42;-1;-1;-2;44;-1;-1;-2;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-2;-1;72;-1;-1;-2;52;-2;98;-2;-2;-1;-2;145;-2;-1;-2;-1;-2;20;-1;-1;-2;-1;-1;-1;-2;-2;-2;-1;-1;-2;-2;-2;-2;-1;-2;-1;-2;-1;-2;-1;-2;38;-2;-2;-1;-2;-2;-2;-1;-1;-1;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;19;-2;-1;33;-2;-1;-1;-2;-2;-2;-1;-2;-1;-2;-2;-1;-1;-1;-2;-2;36;55;9
0,45;-2;-2;-2;-2;-2;-2;-2;-1;-2;-1;-1;-1;-2;-2;-1;-2;27;-2;-2;-2;-2;-2;3;-2;-2;-2;-1;-1;-1;-2;-2;-2;-1;-1;-1;-1;-2;-1;-1;-1;-2;-2;-2;-1;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-1;-2;-1;-2;-2;-1;-2;-2;-2;26;72;2
0,48;-1;-2;-2;-2;-1;-2;-2;-2;21;-1;-1;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;-1;-2;-1;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-1;-1;-1;-2;15;-2;-1;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-1;-2;-2;24;74;2
0,51;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-1;-1;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;-1;-2;-1;-1;-2;-1;-2;-2;-2;-1;-2;-1;-1;-2;-2;-2;-2;-2;22;78;0
0,54;-2;-2;-1;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-1;-1;-2;-1;-2;-2;-2;-1;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-2;-2;-1;-2;-2;-2;-2;1;-1;-2;-2;-2;-2;-1;-2;-1;-2;-1;-2;-2;-1;-2;-1;-2;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;24;75;1
0,57;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;10;90;0
0,6;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-1;-1;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-2;-2;-2;-1;-2;-2;-2;-1;-1;-2;-1;-2;-2;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-1;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-2;-1;-2;24;76;0
0,63;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-1;-2;-2;-2;14;86;0
